season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,viewers,viewers_actual,votes_actual_mean,votes_actual_std,votes_actual_CI_lower,votes_actual_CI_upper,consistency_acceptance,consistency_mse,consistency_kl,certainty_score,confidence_interval_width,relative_uncertainty,is_eliminated
30,8,Amanda Kloots,0.1171547894977065,0.1068642701770086,0.0031297796385673,0.3999657643357344,6.36,6360000.0,745104.4612054133,679656.7583257747,19905.398501288026,2543782.2611752707,0.2,0.0004232208787521,0.0176618230838739,1.4713287500216812e-06,2523876.8626739825,0.912163050569099,False
30,9,Melora Hardin,0.0849021855745776,0.0674441493013774,0.0024320128880391,0.2426618922064038,6.36,6360000.0,539977.9002543135,428944.7895567603,15467.601967928676,1543329.6344327282,0.2,0.0007523977571379,0.0175479355979001,2.331296924567842e-06,1527862.0324647995,0.7943747130294408,True
30,9,Suni Lee,0.1611640350197174,0.1316931112809743,0.004453127568323,0.4889875768307824,6.36,6360000.0,1025003.2627254027,837568.1877469965,28321.89133453428,3109960.988643776,0.2,0.0007523977571379,0.0175479355979001,1.193931217419699e-06,3081639.097309242,0.8171370942956502,False
30,9,Iman Shumpert,0.1628623043920669,0.1332597812782581,0.0060628320768775,0.4852633235311433,6.36,6360000.0,1035804.2559335454,847532.2089297215,38559.6120089409,3086274.7376580713,0.2,0.0007523977571379,0.0175479355979001,1.17989476927142e-06,3047715.1256491304,0.8182358819967014,False
30,9,Cody Rigsby,0.162441419394801,0.140365324640551,0.0044413491260929,0.513820635616613,6.36,6360000.0,1033127.4273509344,892723.4647139043,28246.980441950844,3267899.2425216585,0.2,0.0007523977571379,0.0175479355979001,1.1201664561981896e-06,3239652.262079708,0.8640981171150949,False
30,9,JoJo Siwa,0.2701676474310058,0.1651132597094685,0.0309151793922242,0.63528238144122,6.36,6360000.0,1718266.2376611969,1050120.3317522197,196620.5409345459,4040395.945966159,0.2,0.0007523977571379,0.0175479355979001,9.522709136204405e-07,3843775.405031613,0.6111511177578521,False
30,9,Amanda Kloots,0.1584624081878305,0.1345406554548102,0.0052151896659892,0.4927501162369967,6.36,6360000.0,1007820.9160746019,855678.5686925929,33168.60627569131,3133890.739267299,0.2,0.0007523977571379,0.0175479355979001,1.1686617708167517e-06,3100722.1329916078,0.8490383113156713,False
30,10,Iman Shumpert,0.2138475889791188,0.1632006583445009,0.0091234559797633,0.5949287556494287,6.36,6360000.0,1360070.6659071955,1037956.1870710257,58025.18003129459,3783746.885930367,1.0,3.10732659962554e-05,0.0002208891947763,9.634308740824505e-07,3725721.7058990723,0.7631634245847713,False
30,10,Cody Rigsby,0.2034667837665235,0.1629436057077505,0.009090083897206,0.6062708263529019,6.36,6360000.0,1294048.7447550895,1036321.3323012932,57812.93358623015,3855882.455604456,1.0,3.10732659962554e-05,0.0002208891947763,9.649507386175549e-07,3798069.522018226,0.8008363954616149,False
30,10,JoJo Siwa,0.3683443254080666,0.1934138281406484,0.0514951997544625,0.7684756754309042,6.36,6360000.0,2342669.9095953037,1230111.9469745238,327509.4704383815,4887505.295740551,1.0,3.10732659962554e-05,0.0002208891947763,8.129334809941728e-07,4559995.82530217,0.5250897456513733,False
