season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,True,0.9999999996571428,0.779559803777357
32,10,,Alyson Hannigan,Alyson Hannigan,False,False,0.9999999995,0.7950102161156218
32,11,,Alyson Hannigan,Alyson Hannigan,False,False,0.8928571424585457,1.1344430954893838
33,1,,Reginald VelJohnson,Reginald VelJohnson,False,False,1.0278019113059522,0.4601045631905285
33,2,Tori Spelling,Reginald VelJohnson,Tori Spelling,False,True,0.9426294820082453,1.3455121033024418
33,3,Eric Roberts,Eric Roberts,Eric Roberts,True,True,0.9853420194468842,0.8417754127590432
33,4,Brooks Nader,Dwight Howard ,Brooks Nader,False,True,1.3775510201235162,7.180716715199395
33,5,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,True,1.4545454541424636,12.129967626274086
33,6,Jenn Tran,Jenn Tran,Jenn Tran,True,True,0.9423076920857063,4.645547552115514
33,7,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,True,0.9999999996571428,2.5723902642854735
33,8,,Stephen Nedoroscik,Stephen Nedoroscik,False,False,0.7812499996948242,2.6780673702741966
33,9,,Joey Graziadei,Joey Graziadei,False,False,0.9259259254972564,3.5833896880488827
34,1,,Corey Feldman,Corey Feldman,False,False,1.1653860226021167,0.5259078978385577
34,2,Corey Feldman,Corey Feldman,Corey Feldman,True,True,0.7915009939972331,1.4270459503648212
34,3,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,True,0.9867740079688926,2.2634349447362103
34,4,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,True,True,0.9279141103433454,5.662520367087345
34,5,,Andy Richter,Andy Richter,False,False,1.0364321606738152,0.9229633516865183
34,6,Scott Hoying,Scott Hoying,Scott Hoying,True,True,0.877659574374717,1.4213566178496855
34,7,Jen Affleck,Andy Richter,Jen Affleck,False,True,0.9854014597083622,1.6404476720421133
34,8,Danielle Fishel,Danielle Fishel,Danielle Fishel,True,True,1.0029850744352506,6.648701143944811
34,9,Andy Richter,Andy Richter,Andy Richter,True,True,0.7050359710987525,1.3898812246356151
34,10,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,True,True,1.0396039600254876,98.03745388060756
34,11,,Elaine Hendrix,Elaine Hendrix,False,False,0.9259259254972564,38.283163952253595
